gitid,name,category,menu_average
1153948254,우희 본점,한식,93000
1657246999,직화장인 신당본점,한식,17000
31161142,도치피자 장충,기타,28500
11723986,뚱뚱이할머니집,한식,49000
11611561,평안도족발집,한식,32666
1516466403,콩365,아시안,14700
1650673771,봉래축산 장충점,한식,60000
1404397407,함흥에겨울냉면,한식,13200
11710164,원조1호장충동할머니집,한식,22125
13152812,별내옥설농탕,한식,35666
1903023312,평강삼계탕 장충점,기타,28000
1282789107,우레카츠,일식,18900
11727395,송원,한식,37000
1683808602,한와담 가든,기타,35333
1085935559,크랩회피쉬 장충동본점,일식,54000
1748813102,야마부키,일식,176666
1923216048,러플리버거,양식,7300
1478209881,팔팔식당 동대입구역점,일식,11214
1294003190,희희카츠 충무로점,일식,10000
19963784,옥천매운족발,한식,23666
13154985,맹산식당,한식,11200
1442021510,우리예술,한식,13857
18054951,장충동진두부집,기타,34933
33510647,평남할머니집,한식,24857
1824062038,남소영가마솥,한식,22600
1863614762,든든별식,한식,10200
34268603,수릿날 설렁탕 할매 족발보쌈,한식,27666
13160672,덕화장,중식,12000
20873674,아시아,아시안,8000
18055227,돈돈돈까스,일식,14428
1126991552,장충동비비,기타,20000
20900430,남원본가추어탕 장충동점,한식,32423
37556077,2점5 닭갈비,기타,12000
13578191,평양면옥,한식,29428
1209779910,고젠,일식,19500
11678838,필동면옥,한식,18375
1704043572,우대포 블랙명동점,한식,39000
37036817,더식당 명동본점,한식,32883
1029283004,태태삼겹 신당 2호점,한식,17000
38276255,진아네 떡볶이,한식,6000
1777182536,콘드에뻬뻬,양식,15000
1161958168,아스론가,양식,23200
11679381,우래옥,한식,16000
1062788912,서울은마꽈배기 장충점,기타,3000
1874271422,금성회관 약수역직영점,한식,19166
1966616178,한암동 을지점,한식,72400
13166754,서울신라호텔 더 파크뷰,기타,149538
1225000296,더타코부스 을지로점,멕시칸,16080
1498236014,우온소곱창,한식,11866
21732689,빕스 제일제당센터점,양식,35957
11680069,만포막국수,기타,19500
11728126,백제정육점,한식,30400
33878641,우정,한식,10750
1702312024,우야재 남산,한식,35000
11824865,롯데리아 동대문역사문화공원역점,양식,11000
1514444516,계진상 동대문현대시티아울렛점,한식,21233
1365727258,녹지 종로직영점,한식,34000
1709664208,을지로칼국수 낙원의소바,한식,17225
38425640,필동함박 충무로 본점,양식,12500
1414550429,필동카츠,일식,11644
18051039,동대닭한마리 본점,한식,9000
1379257328,시오,한식,25000
1256930702,정성순대 서울 충무로점,한식,13466
1871154622,카츠공방 충무로역점,일식,16000
1039481463,싱싱오징어바다 충무로점,기타,55666
11710924,홍탁집,한식,27900
1213596200,옥된장 충무로역점,한식,38000
